nodes_egonet,edges_egonet,net_id,density_egonet,transitivity_egonet,ass_gender_egonet,ass_edu_egonet,ass_age_egonet,ass_race_egonet,size_egonet
6,10,192,0.33333333333333337,0.6923076923076923,-0.3999999999999999,NA,NA,0.012345679012345689,6
6,11,200,0.36666666666666664,0.8823529411764706,-0.13793103448275837,-0.31052950170405536,0.02322109902604796,-0.010204081632653027,6
6,9,208,0.3,0.7142857142857143,-0.16666666666666663,-0.06884283908215143,0.22439292846463174,0,6
6,12,213,0.4,0.7297297297297297,0,0.31039573925904007,-0.663284129279728,0.024390243902439025,6
4,6,215,0.5,1,0,NA,0.4466113887356216,0,4
6,11,219,0.36666666666666664,0.75,-0.3200000000000002,-0.18286737322572374,0.04143433945733365,0.05714285714285723,6
6,9,222,0.3,0.7142857142857143,0.39999999999999997,-0.3112935426968725,0.31418265155781266,-0.058823529411764705,6
4,6,224,0.5,1,NA,NA,NA,0,4
6,12,226,0.4,0.7297297297297297,0.2,-0.29226532718723214,NA,0,6
4,4,227,0.3333333333333333,0.6,0,-0.33333333333333326,0.33333333333333337,0,4
6,13,228,0.4333333333333333,0.8666666666666667,-0.22641509433962234,-0.07027283689263039,-0.08118136450784212,0,6
4,6,230,0.5,1,-0.19999999999999998,-0.131306432859722,-0.2826956666042828,-0.15384615384615388,4
6,9,232,0.3,0.7142857142857143,0,0,-0.059761430466719855,-0.10526315789473684,6
6,13,236,0.4333333333333333,0.8666666666666667,-0.18181818181818177,-0.11691048441780613,-0.09376721665551319,0,6
3,3,241,0.5,1,NA,-0.500000000000001,NA,NA,3
6,9,242,0.3,0.7142857142857143,-0.04651162790697674,0,0.07551937920708088,0.25,6
6,9,249,0.3,0.7142857142857143,0.0689655172413793,0.15724272550828772,0.09183882652770686,-0.018867924528301886,6
6,15,262,0.5,1,-0.19469026548672558,-0.10000000000001025,0.07774586168617315,0,6
6,15,280,0.5,1,-0.1904761904761905,-0.29578954665861357,0.2517763886943181,0,6
6,15,282,0.5,1,-0.1904761904761905,-0.29578954665861357,0.4267230505314517,-0.11801242236024843,6
6,15,287,0.5,1,-0.19469026548672558,-0.07332355751067288,-0.27481453423305496,-0.09999999999999996,6
6,11,290,0.36666666666666664,0.8823529411764706,-0.27906976744186046,-0.10000000000000037,-0.27075121494448834,0,6
6,7,292,0.23333333333333334,0.6428571428571429,-0.16666666666666635,0.046829290579084526,0.1777696019972908,-0.029411764705882387,5
6,9,296,0.3,0.7142857142857143,-0.2162162162162162,-0.30007897854553056,-0.47820837657024073,0.015625,6
6,9,298,0.3,0.6521739130434783,-0.17391304347826084,0,0.1796053020267749,0,6
6,9,300,0.3,0.6521739130434783,-0.3636363636363636,-0.09658342616077964,0.0436750935709999,NA,6
4,5,307,0.4166666666666667,0.75,NA,0.3952847075210446,-0.2124173229093828,0,4
6,15,319,0.5,1,NA,-0.20629796061425695,-0.0451535432630779,-0.054687499999999965,6
6,7,330,0.23333333333333334,0.4,-0.27272727272727265,0.15569978883230715,-0.5475153167257409,0,6
