Estimate,Std. Error,z-value,Pr(>|z|),variable,team
1.0842709446215788,0.8330456079151562,1.3015745288366123,0.1930618717384649,outdeg,4_5_1
-1.854608271354306,0.24376270095718738,-7.608252879016282,2.7755575615628914e-14,diff,4_5_1
-0.02585927332608729,1.1295798661703442,-0.02289282422654976,0.9817357643347644,commonReceiver,4_5_1
-0.2926922863273204,1.0025722110977653,-0.29194135154298495,0.7703314660275191,inertia,4_5_1
0.02923049723066915,1.1991661410399794,0.02437568592898974,0.9805529423802257,recip,4_5_1
0.08657718163542918,0.2775530812411477,0.31193017655677885,0.7550935883218939,nodeTrans,4_5_1
-0.9278137472421661,1.0764958491592191,-0.8618832557197699,0.3887517640509497,cycle,4_5_1
7.917732008778356,361.1646373181386,0.021922777566409066,0.9825095552695249,outdeg,4_4_3
-21.902734158475173,357.82954911529174,-0.0612099649473559,0.9511919937350912,diff,4_4_3
-10.928638541864558,218.00457059896976,-0.05013031842331568,0.9600185394965557,commonReceiver,4_4_3
-11.245318972874632,217.98904511228125,-0.05158662430528296,0.9588580774072575,inertia,4_4_3
-4.0963755134157,615.8056849339615,-0.006652058617898262,0.9946924642742254,recip,4_4_3
-0.6480412557900367,1.712957021829282,-0.3783172884851411,0.7051949038132046,nodeTrans,4_4_3
2.6795457375266807,287.9694609329881,0.009304964939147571,0.9925758192702603,cycle,4_4_3
0.3734896848416052,0.7987345229630153,0.46760178019612075,0.6400693916292852,outdeg,4_4_2
-1.3098476188620358,0.1452647949594155,-9.016965323414974,0,diff,4_4_2
-8.955169209127,37.74924361041729,-0.23722777869529893,0.8124800870256057,commonReceiver,4_4_2
-10.095210694142896,37.73344839881021,-0.2675401036090095,0.7890533408778,inertia,4_4_2
9.160972727000729,37.72309546523846,0.24284785259583203,0.808123263929686,recip,4_4_2
0.4249320820539843,0.5216546605816669,0.8145850390374489,0.4153098770781958,nodeTrans,4_4_2
8.333379182521137,37.72613662148996,0.220891401261962,0.8251769928590973,cycle,4_4_2
10.50296515764125,190.85153874393075,0.05503212196645312,0.9561128729313686,outdeg,4_4_1
-22.148239713038873,196.4567901950596,-0.11273847898587852,0.9102378938862894,diff,4_4_1
-12.613650822991703,190.87222757663156,-0.0660842647625494,0.9473107383650545,commonReceiver,4_4_1
-11.208672271381376,190.8608403249078,-0.05872693556363127,0.9531696048808931,inertia,4_4_1
-10.843735301842225,190.8596559118115,-0.056815230280267685,0.9546923815263435,recip,4_4_1
1.7113938080694715,1.4520664141939985,1.1785919647617622,0.23856069276753145,nodeTrans,4_4_1
1.1563180822302574,1.6627834008614164,0.695411129093073,0.4867976880298541,cycle,4_4_1
-21.24944396194497,105.06140561118363,-0.20225737356480786,0.8397155222105395,outdeg,4_3_3
-2.0964299714965184,0.20512660209023822,-10.220175979779881,0,diff,4_3_3
-9.840830071102912,48.090011903928186,-0.20463355448450354,0.8378584374285676,commonReceiver,4_3_3
-2.096429922592368,1.42898174631998,-1.4670795676650523,0.14235441166573937,inertia,4_3_3
29.877410383383545,128.091136314804,0.23325119319696824,0.8155663555168196,recip,4_3_3
7.945724143711936,48.0764988033618,0.1652725207010358,0.8687294866695336,nodeTrans,4_3_3
16.314426465375828,64.05351762267993,0.25469993016588444,0.7989548701858591,cycle,4_3_3
8.131074285071966,110.18742181881227,0.07379312584736192,0.9411749968926559,outdeg,4_2_8
-1.2736212049099362,0.14484681095067656,-8.792883989303924,0,diff,4_2_8
14.540871667487169,289.82932599971735,0.05017046365936534,0.9599865484875107,commonReceiver,4_2_8
-7.256571790564365,163.56683335708874,-0.04436456732473556,0.9646138050044641,inertia,4_2_8
