id,Q246,Q246_6_TEXT,Team_id,remove_team,self_leader,self_leader_2,self_leader_3,squestion,alter_id,Q13,Q14,Q15,Q16,Q17,Q82,Q83,Q84,Q85,Q86,Q89,Q90,Q91,Q92,Q93
425,4,NA,2_3_6,0,TRUE,TRUE,TRUE,4,vero2_3_6,NA,NA,NA,NA,NA,5,5,4,4,FALSE,5,5,5,5,FALSE
522,4,NA,3_4_6,0,TRUE,TRUE,TRUE,1,816,6,5,6,NA,TRUE,6,5,6,1,TRUE,6,5,6,NA,TRUE
522,4,NA,3_4_6,0,TRUE,TRUE,TRUE,4,vero3_4_6,NA,NA,NA,NA,NA,6,5,5,NA,TRUE,6,5,6,NA,FALSE
816,1,NA,3_4_6,0,TRUE,TRUE,TRUE,1,522,6,7,7,5,FALSE,7,6,7,NA,FALSE,7,7,7,NA,FALSE
816,1,NA,3_4_6,0,TRUE,TRUE,TRUE,4,vero3_4_6,NA,NA,NA,NA,NA,5,5,7,NA,FALSE,7,7,6,NA,FALSE
770,4,NA,3_5_6,0,FALSE,FALSE,FALSE,1,296,7,7,7,1,TRUE,6,6,7,NA,TRUE,7,7,7,1,TRUE
770,4,NA,3_5_6,0,FALSE,FALSE,FALSE,4,vero3_5_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,6,6,NA,FALSE
296,5,NA,3_5_6,0,TRUE,TRUE,TRUE,1,770,6,6,5,2,TRUE,6,6,6,2,TRUE,6,7,7,2,TRUE
296,5,NA,3_5_6,0,TRUE,TRUE,TRUE,4,vero3_5_6,NA,NA,NA,NA,NA,6,5,6,2,TRUE,6,6,7,2,TRUE
808,4,NA,2_1_9,0,TRUE,TRUE,FALSE,1,758,7,6,7,1,FALSE,7,7,7,1,FALSE,7,7,7,1,TRUE
808,4,NA,2_1_9,0,TRUE,TRUE,FALSE,2,215,6,6,7,1,TRUE,6,6,7,3,TRUE,7,7,7,2,FALSE
808,4,NA,2_1_9,0,TRUE,TRUE,FALSE,4,vero2_1_9,NA,NA,NA,NA,NA,3,3,3,3,TRUE,3,4,4,3,TRUE
215,2,NA,2_1_9,0,FALSE,FALSE,TRUE,1,758,6,7,6,NA,FALSE,6,7,6,NA,FALSE,7,7,7,NA,TRUE
215,2,NA,2_1_9,0,FALSE,FALSE,TRUE,2,808,7,7,7,NA,TRUE,6,7,7,NA,TRUE,7,7,7,NA,TRUE
215,2,NA,2_1_9,0,FALSE,FALSE,TRUE,4,vero2_1_9,NA,NA,NA,NA,NA,NA,NA,NA,7,FALSE,2,2,1,7,FALSE
758,5,NA,2_1_9,0,TRUE,TRUE,TRUE,1,808,7,7,7,7,TRUE,7,7,NA,1,TRUE,7,7,7,NA,TRUE
758,5,NA,2_1_9,0,TRUE,TRUE,TRUE,2,215,7,7,7,7,TRUE,7,7,NA,NA,TRUE,7,7,7,NA,TRUE
