PID,Condition,uniteam,fluency_ind_1,fluency_ind_2,fluency_ind_3,flex_ind_1,flex_ind_2,flex_ind_3,novel_ind_1,novel_ind_2,novel_ind_3,fluency_team_1,fluency_team_2,fluency_team_3,flex_team_1,flex_team_2,flex_team_3,novel_team_1,novel_team_2,novel_team_3,ind1,ind2,ind3,team1,team2,team3
208,3,44,9,6,4,8,5,3,0.974536096,0.972110485,0.988542621,36,22,34,23,18,18,0.98515357,0.985746521,0.989473684,16,58,82,36,48,50
147 (175),3,44,11,7,5,7,5,5,0.979750779,0.969141478,0.962878094,36,22,34,23,18,18,0.98515357,0.985746521,0.989473684,62,82,96,36,48,50
652,3,99,13,13,15,12,10,12,0.976107274,0.976622025,0.978521234,27,16,21,19,13,14,0.982110579,0.981546948,0.983987969,42,84,60,48,66,50
683,3,99,4,5,4,4,5,4,0.979175132,0.970555109,0.957951421,27,16,21,19,13,14,0.982110579,0.981546948,0.983987969,44,82,60,48,66,50
114,3,43,16,13,11,13,8,10,0.978559648,0.987220744,0.97880385,32,19,17,22,14,16,0.984263157,0.987747669,0.983632503,38,52,60,28,60,70
691,3,43,7,6,4,7,5,4,0.979799153,0.967417538,0.963886343,32,19,17,22,14,16,0.984263157,0.987747669,0.983632503,34,82,191,28,60,70
140,2,42,8,10,5,7,7,4,0.969321414,0.971721641,0.95563703,61,33,35,29,24,20,0.986261868,0.984190659,0.985511677,52,66,76,30,46,82
168,2,42,15,16,19,14,14,17,0.98245003,0.981685675,0.984538569,61,33,35,29,24,20,0.986261868,0.984190659,0.985511677,42,72,72,30,46,82
428,2,42,14,13,13,10,10,12,0.981816335,0.979535398,0.98050483,61,33,35,29,24,20,0.986261868,0.984190659,0.985511677,48,58,50,30,46,82
226,2,41,23,31,23,18,23,19,0.98491303,0.985743419,0.981340841,53,47,44,27,29,25,0.985306143,0.987492266,0.985500354,50,64,72,30,74,72
685,2,41,10,9,6,8,7,6,0.977448192,0.983820506,0.978460128,53,47,44,27,29,25,0.985306143,0.987492266,0.985500354,58,56,94,30,74,72
769 (840),2,41,7,4,8,6,3,4,0.982375051,0.960176991,0.970108972,53,47,44,27,29,25,0.985306143,0.987492266,0.985500354,56,74,92,30,74,72
172,1,40,12,11,10,11,9,9,0.979175132,0.978973159,0.977751854,40,34,29,23,22,18,0.984005379,0.986414065,0.982786216,62,70,30,56,24,20
574,1,40,22,21,17,13,13,12,0.976651142,0.981075843,0.977647696,40,34,29,23,22,18,0.984005379,0.986414065,0.982786216,40,62,58,56,24,20
188,4,95,22,20,15,18,16,14,0.983795205,0.985403977,0.983776352,21,31,31,18,23,15,0.986572175,0.986367055,0.985111465,34,46,46,26,38,30
987,4,95,7,10,15,6,7,7,0.970243491,0.973890149,0.976433981,21,31,31,18,23,15,0.986572175,0.986367055,0.985111465,44,66,58,26,38,30
106,4,94,14,10,9,12,9,8,0.982004992,0.977839538,0.976960253,18,26,14,14,22,11,0.986758672,0.986656081,0.981627742,49,62,59,46,26,44
540,4,94,13,10,9,11,8,8,0.982039821,0.981375704,0.969523373,18,26,14,14,22,11,0.986758672,0.986656081,0.981627742,62,64,76,46,26,44
142,4,93,11,15,9,11,12,8,0.984780762,0.980852776,0.971210732,20,38,23,17,25,18,0.984690245,0.987531461,0.986374965,80,76,64,42,34,50
